obs_id,timestart,timeend,valor,timeupdate
16207737612,2021-05-04 10:00:00,2021-05-04 11:00:00,0,2021-05-04 10:17:07.058788
16208399573,2021-05-04 11:00:00,2021-05-04 12:00:00,0,2021-05-04 11:17:17.92086
16208970549,2021-05-04 12:00:00,2021-05-04 13:00:00,0,2021-05-04 12:17:37.623134
16209249169,2021-05-04 13:00:00,2021-05-04 14:00:00,0,2021-05-04 13:17:19.580428
16209411251,2021-05-04 14:00:00,2021-05-04 15:00:00,0,2021-05-04 14:17:08.268096
16209560949,2021-05-04 15:00:00,2021-05-04 16:00:00,0,2021-05-04 15:17:26.380121
16209706872,2021-05-04 16:00:00,2021-05-04 17:00:00,0,2021-05-04 16:17:09.70771
16209851910,2021-05-04 17:00:00,2021-05-04 18:00:00,0,2021-05-04 17:17:16.522645
16210002302,2021-05-04 18:00:00,2021-05-04 19:00:00,0,2021-05-04 18:17:19.135305
16210170137,2021-05-04 19:00:00,2021-05-04 20:00:00,0,2021-05-04 19:17:13.323481
16210351828,2021-05-04 20:00:00,2021-05-04 21:00:00,0,2021-05-04 20:17:14.967783
16210507612,2021-05-04 21:00:00,2021-05-04 22:00:00,0,2021-05-04 21:17:29.622935
16210659031,2021-05-04 22:00:00,2021-05-04 23:00:00,0,2021-05-04 22:17:09.67282
16211360331,2021-05-04 23:00:00,2021-05-05 00:00:00,0,2021-05-04 23:17:08.180724
16211928688,2021-05-05 00:00:00,2021-05-05 01:00:00,0,2021-05-05 00:17:53.874853
16212086970,2021-05-05 01:00:00,2021-05-05 02:00:00,0,2021-05-05 01:17:29.150942
16212219498,2021-05-05 02:00:00,2021-05-05 03:00:00,0,2021-05-05 02:17:30.96844
16212329698,2021-05-05 03:00:00,2021-05-05 04:00:00,0,2021-05-05 03:17:23.069874
16212423408,2021-05-05 04:00:00,2021-05-05 05:00:00,0,2021-05-05 04:17:33.659391
16212568264,2021-05-05 05:00:00,2021-05-05 06:00:00,0,2021-05-05 05:17:13.999495
16212718782,2021-05-05 06:00:00,2021-05-05 07:00:00,0,2021-05-05 06:17:12.38886
16212886856,2021-05-05 07:00:00,2021-05-05 08:00:00,0,2021-05-05 07:17:07.570536
16213045072,2021-05-05 08:00:00,2021-05-05 09:00:00,0,2021-05-05 08:17:15.690817
16213199292,2021-05-05 09:00:00,2021-05-05 10:00:00,0,2021-05-05 09:17:27.419409
16213348045,2021-05-05 10:00:00,2021-05-05 11:00:00,0,2021-05-05 10:17:14.324456
16213989321,2021-05-05 11:00:00,2021-05-05 12:00:00,0,2021-05-05 11:17:43.728583
16214564934,2021-05-05 12:00:00,2021-05-05 13:00:00,0,2021-05-05 12:17:42.801186
16214852468,2021-05-05 13:00:00,2021-05-05 14:00:00,0,2021-05-05 13:17:28.19056
16215024046,2021-05-05 14:00:00,2021-05-05 15:00:00,0,2021-05-05 14:17:10.097526
16215179921,2021-05-05 15:00:00,2021-05-05 16:00:00,0,2021-05-05 15:17:16.569893
16215342295,2021-05-05 16:00:00,2021-05-05 17:00:00,0,2021-05-05 16:17:15.146943
16215496836,2021-05-05 17:00:00,2021-05-05 18:00:00,0,2021-05-05 17:17:22.093983
16215656997,2021-05-05 18:00:00,2021-05-05 19:00:00,0,2021-05-05 18:17:33.308542
16215834778,2021-05-05 19:00:00,2021-05-05 20:00:00,0,2021-05-05 19:18:58.38054
16216020838,2021-05-05 20:00:00,2021-05-05 21:00:00,0,2021-05-05 20:19:18.673338
16216186634,2021-05-05 21:00:00,2021-05-05 22:00:00,0,2021-05-05 21:17:17.974046
16216348139,2021-05-05 22:00:00,2021-05-05 23:00:00,0,2021-05-05 22:17:20.636635
16217057820,2021-05-05 23:00:00,2021-05-06 00:00:00,0,2021-05-05 23:17:19.604465
16217617900,2021-05-06 00:00:00,2021-05-06 01:00:00,0,2021-05-06 00:17:52.444938
16217793691,2021-05-06 01:00:00,2021-05-06 02:00:00,0,2021-05-06 01:17:42.633792
16217944602,2021-05-06 02:00:00,2021-05-06 03:00:00,0,2021-05-06 02:17:22.195384
16218066194,2021-05-06 03:00:00,2021-05-06 04:00:00,0,2021-05-06 03:17:17.298494
16218187716,2021-05-06 04:00:00,2021-05-06 05:00:00,0,2021-05-06 04:17:14.458875
16218333525,2021-05-06 05:00:00,2021-05-06 06:00:00,0,2021-05-06 05:17:21.573934
16218494446,2021-05-06 06:00:00,2021-05-06 07:00:00,0,2021-05-06 06:17:24.321504
16218672562,2021-05-06 07:00:00,2021-05-06 08:00:00,0,2021-05-06 07:17:13.669206
16218840860,2021-05-06 08:00:00,2021-05-06 09:00:00,0,2021-05-06 08:17:16.717351
16219005645,2021-05-06 09:00:00,2021-05-06 10:00:00,0,2021-05-06 09:17:15.409141
16219164637,2021-05-06 10:00:00,2021-05-06 11:00:00,0,2021-05-06 10:17:09.488563
16219838202,2021-05-06 11:00:00,2021-05-06 12:00:00,0,2021-05-06 11:17:28.50626
16220424648,2021-05-06 12:00:00,2021-05-06 13:00:00,0,2021-05-06 12:17:44.320158
16220774561,2021-05-06 13:00:00,2021-05-06 14:00:00,0,2021-05-06 13:18:44.058069
16221763299,2021-05-06 14:00:00,2021-05-06 15:00:00,0,2021-05-06 14:17:18.114447
16222003958,2021-05-06 15:00:00,2021-05-06 16:00:00,0,2021-05-06 15:17:17.372658
16222208673,2021-05-06 16:00:00,2021-05-06 17:00:00,0,2021-05-06 16:17:28.039505
16222447346,2021-05-06 17:00:00,2021-05-06 18:00:00,0,2021-05-06 17:17:15.654481
16222661550,2021-05-06 18:00:00,2021-05-06 19:00:00,0,2021-05-06 18:17:14.142833
16222901816,2021-05-06 19:00:00,2021-05-06 20:00:00,0,2021-05-06 19:17:08.696917
16223135063,2021-05-06 20:00:00,2021-05-06 21:00:00,0,2021-05-06 20:19:03.23784
16223371114,2021-05-06 21:00:00,2021-05-06 22:00:00,0,2021-05-06 21:17:36.655933
16223562307,2021-05-06 22:00:00,2021-05-06 23:00:00,0,2021-05-06 22:17:26.271871
16224291916,2021-05-06 23:00:00,2021-05-07 00:00:00,0,2021-05-06 23:17:17.576964
16224840032,2021-05-07 00:00:00,2021-05-07 01:00:00,0,2021-05-07 00:18:17.407925
16225128011,2021-05-07 01:00:00,2021-05-07 02:00:00,0,2021-05-07 01:17:29.201689
